City,Metric,Forecast
Guwahati,NO2,"[7.152841204697933, 7.350368346633902, 7.257709750870865, 6.94953692334114, 6.671478148270051, 6.708689135585487, 6.851865303136838]"
Guwahati,NOx,"[4.191193118221503, 4.5950096709929, 4.573791662294147, 4.452538744850818, 4.295051012263535, 4.190951455776295, 4.234840362922899]"
Guwahati,NH3,"[4.432267356702775, 4.08042501044112, 3.9794353370506763, 4.020170201366168, 4.024290804110214, 4.132293383347017, 4.131293207890497]"
Guwahati,CO,"[0.5756571454295771, 0.5354155179039161, 0.5118830099122813, 0.5210768898849428, 0.5031307550378511, 0.5241371042717008, 0.5361200479238473]"
Guwahati,SO2,"[16.00841339954206, 15.954263293076842, 15.940537941466228, 15.942928808995786, 15.957009724969705, 15.96076801153154, 15.957211582018148]"
Guwahati,O3,"[22.107316182387812, 22.414807042465117, 23.112357531555745, 23.60028533158919, 23.691606030789085, 23.1143186954406, 22.980978988011444]"
Guwahati,Benzene,"[-6.00049431713179e-162, -1.6001175878148013e-162, -1.2345490808356238e-162, -1.6327427440983792e-162, -1.724860676667229e-162, -1.9509202346021755e-162, -2.1341817351935614e-162]"
Guwahati,Toluene,"[6.149999866950382, 6.153359586213334, 6.1567192784059195, 6.160078965334378, 6.163438553535705, 6.16679813667246, 6.170157695129988]"
Guwahati,Xylene,"[1.1171967922678825, 1.117196770839647, 1.1171967547846016, 1.117196744091982, 1.1171967387510244, 1.1171967387509647, 1.117196738750925]"
Guwahati,AQI,"[37.616342425864545, 38.835071790390046, 37.7435643218909, 39.250820082264084, 39.18124425545329, 38.3329799077446, 38.18636194409908]"
Hyderabad,PM2.5,"[25.37950798342327, 22.878648773588242, 21.862490083410247, 22.160890309889474, 22.590920693607025, 23.35891482181807, 23.359718877248078]"
Hyderabad,PM10,"[63.1919595920468, 59.23892905281292, 55.27289115313392, 54.67121634086973, 54.14044697671245, 55.84701796430717, 56.63618253328419]"
Hyderabad,NO,"[3.917045060777352, 4.292837715394239, 4.228671094796935, 3.93741146992057, 3.6984587847176744, 3.705598803680829, 3.8448632709538035]"
Hyderabad,NO2,"[26.59417956703027, 25.899593669927956, 25.855894141963798, 25.853443918716682, 25.90199223383718, 26.047865906817687, 26.07178400903863]"
Hyderabad,NOx,"[16.04877699869008, 15.823225310068109, 15.795680705020093, 15.844427283308757, 15.76087699879499, 15.819591470463186, 15.846748540164572]"
Hyderabad,NH3,"[9.664210832462999, 10.085770869529792, 10.301058666086938, 10.456196200192828, 10.368983937072226, 10.216724853726046, 10.175696701008759]"
Hyderabad,CO,"[0.4224567659428296, 0.41845279110680883, 0.41791166615717246, 0.41988027319454285, 0.4234565535945284, 0.4220881382430746, 0.421402551071034]"
Hyderabad,SO2,"[5.90755965813121, 5.8696084652778255, 5.942141022653397, 5.954096308230824, 5.8623440363465855, 5.896464388492013, 5.9010402380449305]"
Hyderabad,O3,"[15.725949044158058, 17.2536991077454, 17.237781653697883, 17.1822164353379, 16.887532213856513, 16.5836128594862, 16.65948008361134]"
Hyderabad,Benzene,"[1.2183267349867546, 1.1898506117380854, 1.1710848415190005, 1.2041427781822152, 1.2353278485094026, 1.2360527706455353, 1.2275418765058257]"
Hyderabad,Toluene,"[14.468461313851302, 12.99187852788032, 12.136493863403581, 12.162173323280925, 12.50730932865275, 13.084317588583342, 13.229491534206261]"
Hyderabad,Xylene,"[2.192155499170825, 2.045617636217396, 1.937040631436314, 2.1295616991874184, 2.2010408230843383, 2.2444152662681427, 2.2060136856245967]"
Hyderabad,AQI,"[49.313975970641316, 50.17738833306616, 49.406030750176015, 48.65955613609667, 48.37662827379847, 48.58243101757774, 48.86309855201125]"
Jaipur,PM2.5,"[45.897758169568576, 39.7873753947779, 37.42570131139501, 37.00429773438611, 39.34669091838146, 42.85556187542615, 42.05675775682459]"
Jaipur,PM10,"[95.49621013631246, 86.97348472369411, 84.29265436682871, 84.98353318740408, 85.33817682310803, 88.05625540583813, 87.98620752691264]"
Jaipur,NO,"[5.493532270708493, 5.657199980619034, 5.664849431746114, 5.655259661860375, 5.588957761921286, 5.543949416221567, 5.560242957519375]"
Jaipur,NO2,"[11.407278582120783, 11.712200457347578, 12.179156264525849, 12.431198326975988, 12.291688589178703, 12.184904707234313, 12.131284434066957]"
Jaipur,NOx,"[15.182133647471346, 15.995919446212069, 16.366751978881624, 16.624479554079922, 16.451394502460538, 16.10173096196448, 15.994735435409181]"
Jaipur,NH3,"[18.9512197598279, 19.70572346251177, 19.821363130446557, 20.178129290335534, 19.978536201738613, 19.522088315092606, 19.456213830475587]"
Jaipur,CO,"[0.5660669427625995, 0.5742229542358092, 0.5655271475220548, 0.5577553566948462, 0.5797638649300588, 0.5719746680193722, 0.5702663026603347]"
Jaipur,SO2,"[6.9786032667677524, 7.87058940595789, 8.247050917641468, 7.891327822747819, 7.950028700779003, 7.681684933778997, 7.74628952681218]"
Jaipur,O3,"[49.545924426146556, 46.405726143194194, 45.31762421771831, 46.06970891752297, 47.36975293240396, 47.96288594799233, 47.71437005789694]"
Jaipur,Benzene,"[0.2578854319110082, 0.25091116358642296, 0.26224927338807436, 0.25703432546425103, 0.2854187783196283, 0.2713063568215324, 0.2682417949591496]"
Jaipur,Toluene,"[0.5487652397346349, 0.637696220977372, 0.5058422455665794, 0.6149355787590017, 0.6676313010037562, 0.6281061498746375, 0.6333974838226888]"
Jaipur,Xylene,"[2.8224039142095623, 2.8224039148991866, 2.8224039154161726, 2.8224039157606757, 2.822403915932851, 2.8224039159328536, 2.8224039159328553]"
Jaipur,AQI,"[85.43667231390629, 83.39871026083478, 80.18892233524599, 77.7948109967191, 78.67598945610632, 78.43482679731699, 79.80484924378624]"
Jorapokhar,PM2.5,"[45.168334984009455, 44.810568874708565, 44.719260194901196, 44.77794866288068, 44.89436424161731, 44.96803941891299, 44.95285201789748]"
Jorapokhar,PM10,"[96.26197308836542, 90.88113495708026, 88.2844469310075, 86.77520342871776, 86.40782233121276, 89.11813720839248, 90.2278957216008]"
Jorapokhar,NO,"[22.081714863836197, 22.06561999509417, 22.299630264460156, 22.41538327723431, 22.579987219213717, 22.416839517618254, 22.42385212166482]"
Jorapokhar,NO2,"[15.48280101336205, 15.245099441998267, 14.799804361994084, 14.53796450848911, 14.04486293683765, 13.786265184707654, 13.86322884422965]"
Jorapokhar,NOx,"[99.98998044602236, 100.06333310472913, 100.13666732766838, 100.21001167003617, 100.28333734352333, 100.35667255032972, 100.42999234371099]"
Jorapokhar,NH3,"[7.797337454580109, 7.964836171006635, 8.033119499361426, 7.944505930726871, 7.869734462092751, 7.918541795316127, 7.935861177423099]"
Jorapokhar,CO,"[1.7167308163019943, 1.7059141600696122, 1.7201200650906985, 1.7102832151547556, 1.7104007967834332, 1.7068812762958017, 1.7088166424334852]"
Jorapokhar,SO2,"[15.115950035697185, 15.717781646767447, 16.43712902970642, 17.672113800119757, 17.96758228921869, 17.150501557281363, 17.056672752830174]"
Jorapokhar,O3,"[41.65818420033274, 49.507090549715734, 48.58384556415078, 44.693756137280424, 41.46584303706818, 40.03563646147643, 42.02678565795461]"
Jorapokhar,Benzene,"[4.099519876212977, 4.1028357083177855, 4.106151528612278, 4.109467362355682, 4.112783181603997, 4.1160990119332626, 4.119414834792186]"
Jorapokhar,Toluene,"[2.1518131506241328e-06, -0.0003896045700497959, -0.0007799246551064841, -0.0011707917135012928, -0.0015600238494628185, -0.0019497526389484286, -0.002338063840715482]"
Jorapokhar,AQI,"[115.37032336784765, 134.01167296181893, 136.6484157280923, 135.88915486097522, 131.49388605250675, 122.78089148666729, 121.04704887828865]"
Kochi,PM2.5,"[11.693365425695044, 10.718710441000688, 13.543022159401819, 14.081793778145295, 12.780169693589691, 12.3658851960282, 12.078536485980926]"
Kochi,PM10,"[18.4489301564616, 16.9208502247565, 21.883920195710353, 26.53322659687862, 23.366852316576686, 22.390924528425995, 21.054840297059467]"
Kochi,NO,"[14.417636045900291, 17.30404455408018, 18.38308776078257, 18.13149152234371, 17.739464166902508, 17.50874358923268, 17.447696356860618]"
Kochi,NO2,"[2.487124439512083, 2.4977775521745555, 2.5087855891643693, 2.5155441228718223, 2.5190640742515975, 2.5160568106656918, 2.517367759467864]"
Kochi,NOx,"[14.938345972037613, 17.841566083941924, 18.654885021672605, 17.95017427850543, 17.333096531768604, 17.324556680161386, 17.55355945571037]"
Kochi,NH3,"[2.4254117224381377, 2.395850207957205, 2.3955687734795785, 2.402998683070677, 2.4046443486726794, 2.4033547315859156, 2.402538694075025]"
Kochi,CO,"[1.8181274670635688, 1.7646831520660842, 1.7087024600518137, 1.7217285348377702, 1.7099579486568244, 1.7555030798670885, 1.7645472089464784]"
Kochi,SO2,"[20.801837240559383, 20.77308025982092, 20.87066451428155, 20.762935904628065, 20.76526707983345, 20.765929542794858, 20.77237383242633]"
Kochi,O3,"[1.0633978342621262, 1.0113656033866576, 1.0126308181376678, 1.016331262920817, 1.0392859449283216, 1.044257199808619, 1.0419268047775523]"
Kochi,Benzene,"[4.633368355756947, 4.6333683666525864, 4.633368374798385, 4.633368380211636, 4.633368382909632, 4.633368382909666, 4.633368382909688]"
Kochi,Toluene,"[0.013092715962680964, 0.007803792560496713, 0.006078259627782933, 0.003995196317194354, 0.00706278848565986, 0.007049999701048897, 0.006828575982148168]"
Kochi,Xylene,"[3.0642348016242726, 3.064234802250646, 3.0642348027189352, 3.0642348030301347, 3.064234803185238, 3.0642348031852404, 3.0642348031852418]"
Kochi,AQI,"[99.37101028103477, 95.05995946706673, 92.60618522786925, 92.50597871152728, 93.44553834050824, 94.77637300348381, 95.12817417033075]"
Kolkata,PM2.5,"[9.43938699896834, 9.211570327510326, 9.90376856601296, 10.707092502053756, 11.005136056010102, 10.86606700719299, 10.578735035201266]"
Kolkata,PM10,"[29.98623879288483, 28.542487874836414, 28.626197081352338, 29.68175079217149, 30.383353297354862, 30.575747435967266, 30.350815064286863]"
Kolkata,NO,"[6.207250307390276, 6.071949118320345, 5.991745884141654, 5.952691360776146, 6.017335742909539, 6.057152660750159, 6.0770605242005615]"
Kolkata,NO2,"[10.072833421575416, 10.596198116788406, 10.907127844804162, 11.500682390066496, 11.507480622354226, 11.218404532956825, 11.02977224993438]"
Kolkata,NOx,"[15.893520685162244, 16.266553619363496, 17.009436721770335, 17.532449329711564, 17.426919716052527, 17.13971751901452, 16.925242306529576]"
Kolkata,NH3,"[11.9959492683681, 11.085787293406035, 10.577163206571969, 10.850396073176329, 10.96298053193699, 11.073700701343386, 11.033080562560754]"
Kolkata,CO,"[0.31461150035344826, 0.32778000123230033, 0.33711641141544113, 0.34571263030820415, 0.3430489559644199, 0.3375164233165548, 0.33580666061544234]"
Kolkata,SO2,"[4.6565506824199, 4.660029397951226, 4.580661469540814, 4.64076203828783, 4.680905397854675, 4.660373200196731, 4.661634918490792]"
Kolkata,O3,"[17.604687875838078, 19.779001426811067, 21.36500024161238, 21.860250025825888, 21.467702899426566, 20.596113329802012, 20.348535351455624]"
Kolkata,Benzene,"[1.7730594803638458, 1.7976701401503008, 1.7660936383524173, 1.9572537229620686, 2.0093611486645346, 1.969968624278049, 1.9397080371894158]"
Kolkata,Toluene,"[10.244282134400809, 10.23233413970382, 10.424434218300833, 10.326138563854538, 10.332021375804239, 10.309053521917308, 10.332415887730933]"
Kolkata,Xylene,"[0.1973300785333842, 0.23265037459972462, 0.2534503840997366, 0.2570639746958356, 0.25153914921022175, 0.23867399001337097, 0.23278572170498024]"
Kolkata,AQI,"[43.189438357617725, 42.33863358013968, 43.05364458319488, 44.01991990385723, 44.49896964034363, 44.46207928185629, 44.08301062471488]"
Lucknow,PM2.5,"[35.53391870533896, 34.97892677289775, 35.128724273587295, 34.589807722067185, 35.046971027835575, 35.00497482885416, 35.062657564693964]"
Lucknow,PM10,"[48.3892362979502, 48.38923632667741, 48.38923634821748, 48.38923636257398, 48.38923636975049, 48.389236369750584, 48.38923636975065]"
Lucknow,NO,"[9.078108501952697, 9.14149161490597, 9.264270814650732, 9.428208636569591, 8.83391650612923, 8.837723756185385, 8.981473313417862]"
Lucknow,NO2,"[15.828698651895154, 16.221636522915574, 15.745549412033224, 15.898850523978421, 15.536760278742229, 15.490334134208391, 15.576170119478132]"
Lucknow,NOx,"[10.087525283922904, 12.592307245055736, 13.46711709067922, 13.482893156071299, 12.522008804810673, 11.55952973758604, 11.618294177320575]"
Lucknow,NH3,"[11.740646468571605, 11.729084833191033, 11.725374563562468, 11.721842475023601, 11.729027149664446, 11.731432042930988, 11.73124382738998]"
Lucknow,CO,"[0.7845973378164594, 0.769621897472533, 0.7716831772966879, 0.766722219648393, 0.7594285270272665, 0.7630894244754457, 0.7670352919915908]"
Lucknow,SO2,"[5.809180097223043, 5.777394488768293, 5.471688564492078, 5.399599690412953, 5.2424609650094345, 5.323567533229406, 5.335328752146612]"
Lucknow,O3,"[37.416887178166625, 39.2171183785618, 40.75061469047437, 40.71546667842737, 40.760355935892875, 40.33997532610049, 40.09300794095139]"
Lucknow,Benzene,"[5.543360317670479, 4.653963447234774, 5.058307901552859, 2.867637820001518, 3.0311160319915116, 2.939155429594715, 3.0521098471248473]"
Lucknow,Toluene,"[2.0879395802342273, 2.432130078214373, 2.5175210461481305, 2.5628134598140355, 2.6405674549331604, 2.656079379869384, 2.6485854532079984]"
Lucknow,Xylene,"[8.955183912611866e-05, 8.955151909126694e-05, 8.955127912462047e-05, 8.955111918633685e-05, 8.955103923657454e-05, 8.955103923549078e-05, 8.955103923476794e-05]"
Lucknow,AQI,"[75.7792193526984, 75.34267615223717, 74.70297199285054, 73.43302545305384, 73.32911962142553, 73.83576877339874, 74.11319071725005]"
Mumbai,PM2.5,"[6.755274928551417, 8.597487203515426, 9.044622767322796, 8.317666574062565, 7.269157167898516, 6.840387558667935, 7.051563725246708]"
Mumbai,PM10,"[20.36516865090758, 28.948639062364197, 32.23869607711153, 31.133453388571567, 27.084046987697604, 23.80657643228899, 23.2682164146219]"
Mumbai,NO,"[27.48280956907626, 27.311062382741582, 27.316794484991078, 27.19917569488583, 27.128973329698525, 27.186433037061054, 27.207061834936663]"
Mumbai,NO2,"[6.095055585974569, 6.759803701488624, 7.088557540844824, 7.265470125763222, 7.043174201228701, 6.758709848938456, 6.70189675372137]"
Mumbai,NOx,"[33.7114142820005, 34.05056940218254, 33.98243021286823, 33.848446946180474, 33.76511601508194, 33.76434596764705, 33.80718626151591]"
Mumbai,NH3,"[23.74873955480875, 24.13360887369043, 23.9207617240674, 23.67216380363293, 23.494556703087493, 23.551024849928314, 23.618449205278896]"
Mumbai,CO,"[0.3787981189099901, 0.38341233578250744, 0.3834340712682594, 0.38217856801064315, 0.37961780085901015, 0.3785078145964021, 0.3786937706706216]"
Mumbai,SO2,"[13.475387326421297, 14.071545742640092, 14.388261021633546, 14.716178093554847, 14.923854530959254, 15.108941537110574, 15.29770210722]"
Mumbai,O3,"[6.62280957291839, 6.581631630252697, 6.5405576177510225, 6.489770118803735, 6.5191278465914895, 6.529284658855792, 6.533671048551769]"
Mumbai,Benzene,"[0.7712356161533203, 0.7789430490669149, 0.7511582382059449, 0.7311077835354748, 0.739926621200239, 0.7458709475218291, 0.7503921768897868]"
Mumbai,Toluene,"[0.29310870410137546, 0.29364612492611764, 0.29415411329539803, 0.29438294046773894, 0.2940310435468053, 0.29351616992002627, 0.29345552154991117]"
Mumbai,Xylene,"[0.0015291989213942663, 0.0016027935730465702, 0.0015145737754845097, 0.0015538516697586107, 0.0013561462717170524, 0.0013066503574087663, 0.0014289099208541227]"
Mumbai,AQI,"[54.14867993784598, 56.38793228219406, 57.53923233513273, 56.82283756779116, 56.08147729830712, 55.457189649710905, 55.279852274449716]"
Patna,PM2.5,"[30.924924623237573, 27.697274473555026, 27.399109292836314, 27.386550448746178, 28.112399367308896, 28.877816105264504, 28.847017799496356]"
Patna,PM10,"[55.07379706395885, 57.9784513324319, 55.531678800473635, 54.37261681797142, 55.889726524020595, 55.84387088098555, 55.956950344919825]"
Patna,NO,"[37.60604690587823, 34.18775073504632, 35.72934987034389, 37.61869336135826, 38.02353718735722, 38.391421521998275, 37.90192351054715]"
Patna,NO2,"[29.16398016716728, 27.701835439519037, 27.237746984746025, 26.99574749179945, 27.102274332848374, 27.51770863616421, 27.662890850836312]"
Patna,NOx,"[50.664218640442726, 46.73625357019195, 47.44481930929981, 48.58132155711923, 49.09105847249179, 49.79028585171743, 49.54173925134794]"
Patna,NH3,"[1.3333188580107025, 1.4002828138961554, 1.4523360993113557, 1.508223294945442, 1.4907018514553156, 1.4625219422707143, 1.4557622598517466]"
Patna,CO,"[0.813469255558849, 0.8251931904778801, 0.8125489094897675, 0.8238063265526585, 0.822651403418821, 0.8216528876697001, 0.8201042321776731]"
Patna,SO2,"[3.852374229257021, 3.8412103861841143, 3.855382622163952, 3.8607121300898215, 3.868076176844953, 3.86703754798026, 3.862610263049351]"
Patna,O3,"[23.8547061900656, 23.32041070497204, 22.80430941850341, 22.395114550132174, 22.554545487778107, 22.964068615995476, 22.990012138285316]"
Patna,Benzene,"[1.638747890228797, 1.5374409230550943, 1.5006932698419955, 1.494110942925639, 1.528468108916127, 1.5597757611418206, 1.5672860963215247]"
Patna,Toluene,"[5.181714095980013, 4.62821622420923, 4.072926661476578, 4.499480017259189, 4.61956305688698, 4.752041699135873, 4.844967507570975]"
Patna,Xylene,"[2.0918103069756517, 1.994074077749945, 1.9561369986016799, 1.9503091345040282, 1.9721982391776507, 1.992842003466368, 1.9964000907219501]"
Patna,AQI,"[92.64836977289276, 89.05378382777548, 89.27104572671215, 90.4378006700516, 91.17961668846316, 91.48663800672355, 91.2055546121848]"
Shillong,PM2.5,"[13.290336200868609, 11.556658051833788, 12.575921016238771, 12.931828260486512, 12.971275208866816, 13.444718546600877, 13.472174835092648]"
Shillong,PM10,"[26.50562058335915, 19.74070993592846, 19.31138904816573, 20.707644239715407, 21.059857220466007, 21.809494909569114, 22.716869473655674]"
Shillong,NO,"[1.0037294477878893, 1.0105520675654456, 1.0173527433342888, 1.0158148380927325, 1.0090109018640432, 1.006846064478805, 1.0088690814435055]"
Shillong,NO2,"[2.7710650660550726, 2.835774246024873, 2.877343048775789, 2.8706962635835116, 2.844874150455729, 2.8266992896872125, 2.8279011170128676]"
Shillong,NOx,"[1.04305052802187, 1.054300512955079, 1.0604653896467853, 1.0650551136790696, 1.0693630102848999, 1.0691156370429866, 1.06759857460086]"
Shillong,NH3,"[2.795336151575827, 2.856220443752857, 2.8937856348707696, 2.8954054488733543, 2.877129627990378, 2.8535013669938953, 2.855153248255463]"
Shillong,CO,"[0.11999978145654983, 0.1474888486056562, 0.14704423217783935, 0.1432743928126693, 0.15341546716445895, 0.1427560203292364, 0.1384953354706838]"
Shillong,SO2,"[4.245301398830032, 4.255790155823763, 4.256724689932453, 4.2927094793738165, 4.354658314511735, 4.361118583325295, 4.357332468992009]"
Shillong,O3,"[18.19789640054028, 16.33334019360257, 17.813656310373197, 17.705888987482727, 16.304476634260787, 16.44625276771067, 16.905294324097376]"
Shillong,Benzene,"[-0.003138153079513175, -0.0007354816364153502, 0.0024217870059854716, 0.002484741309469195, 0.0021247020853765847, 0.0017562419110032056, 0.0017650379865038644]"
Shillong,Toluene,"[-0.0049814616926687726, 0.00831388048438303, 0.027525810885759536, 0.02867001702175221, 0.02657618585294598, 0.024348619166291934, 0.024320543209808122]"
Shillong,Xylene,"[2.309539211279048, 2.310084673767966, 2.310629001230608, 2.311173583011449, 2.311718288679285, 2.312262660198304, 2.312806939702575]"
Shillong,AQI,"[26.70126387922077, 28.033453267971876, 27.34481959000363, 26.63695535545022, 26.525202571209068, 26.67804006168693, 26.80918098339443]"
Talcher,PM2.5,"[22.586710416287374, 22.33491041352494, 23.00312512333372, 22.45610613688152, 21.93882369583101, 22.427084405097233, 22.400436461122833]"
Talcher,PM10,"[29.959714446342527, 28.27268161024693, 28.359890260381597, 28.535180583987238, 27.97687958942628, 28.269346525166306, 28.535914093385347]"
Talcher,NO,"[22.917105986391128, 20.218241590237497, 20.314928737974757, 20.937177567123403, 21.050054979298594, 22.211166431597178, 22.11778359110817]"
Talcher,NO2,"[26.716456253760427, 25.049421372323973, 24.320445593481807, 24.969622885585235, 25.896088394509754, 26.023890015316237, 25.713878807225733]"
Talcher,NOx,"[48.71446507889817, 41.37258415634002, 34.47944624515098, 33.78937367539085, 37.75268833515809, 40.93185891937393, 41.73191016021354]"
Talcher,NH3,"[2.1432172601862938, 2.138340555759023, 2.652287398729835, 2.8553127934084683, 2.823835381433742, 2.778020373144678, 2.743700178251567]"
Talcher,CO,"[1.4777152903923028, 1.4567347645813458, 1.4790123615988013, 1.4685543579533151, 1.4640655813866297, 1.4684257355478627, 1.4677316233856226]"
Talcher,SO2,"[15.605026039408154, 15.717672033877745, 15.635800468504817, 16.081972805491894, 16.058285806828707, 15.873077723752361, 15.84751687372718]"
Talcher,O3,"[23.848195316909276, 27.47955371910808, 30.210844383029986, 32.09114134723894, 31.0953052882365, 28.291964069616434, 28.094419291651846]"
Talcher,Benzene,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
Talcher,Toluene,"[4.704049364823191, 4.710973408586468, 4.717881997328177, 4.7247610926768795, 4.731609790222864, 4.738429526007693, 4.745237995758734]"
Talcher,Xylene,"[2.813798908365641, 2.8143439659298832, 2.814889005751227, 2.815434030668795, 2.815979047727853, 2.8165240287945883, 2.817068991694672]"
Talcher,AQI,"[102.63522982881577, 99.42086828500685, 98.52722561373973, 98.37566949815798, 97.75909542687684, 98.1852916162089, 98.7129175297485]"
Thiruvananthapuram,PM2.5,"[5.169285914681793, 8.042316122880393, 9.580580051254389, 11.832360144749746, 12.079504064212347, 10.574085536606484, 9.965043157711062]"
Thiruvananthapuram,PM10,"[34.92613783110594, 35.62651326678787, 37.05899771399325, 38.38355064359491, 38.68324672319782, 38.030536598587666, 37.53582229047784]"
Thiruvananthapuram,NO,"[3.427171035573846, 5.054177584839311, 3.5089717653761285, 3.9373033574236684, 4.718186145411342, 4.103437632559492, 4.042848998340994]"
Thiruvananthapuram,NO2,"[5.721965339418292, 6.647541281968618, 6.3067898425575475, 6.969446538315297, 7.225839995068656, 6.256107946245917, 6.357220489356535]"
Thiruvananthapuram,NOx,"[6.594629244809372, 8.242591542656344, 6.787473538990151, 7.988806172349143, 8.568923871200806, 7.337331057826557, 7.494386031279802]"
Thiruvananthapuram,NH3,"[5.584889453896549, 5.642426503834762, 5.653328495023195, 5.648545434208226, 5.659397862258777, 5.660011206801928, 5.6564686339204036]"
Thiruvananthapuram,CO,"[0.4339645019424205, 0.44536169184069274, 0.4667457567728964, 0.49602833059956486, 0.5010106365860143, 0.4924528410898532, 0.4858267427484571]"
Thiruvananthapuram,SO2,"[7.074479898769309, 7.385592064946179, 7.401656303252961, 7.54837730633856, 7.502853702907375, 7.238692747254955, 7.317403872726606]"
Thiruvananthapuram,O3,"[23.74586461580479, 24.405888293846807, 24.377583093350676, 24.393512580917175, 24.394397113308568, 24.2306974466609, 24.242624457052827]"
Thiruvananthapuram,Benzene,"[6.429998849532661, 6.4357746475351965, 6.441550099804593, 6.447325319798655, 6.453100367262469, 6.458874573423273, 6.464648525604202]"
Thiruvananthapuram,Toluene,"[12.49999324464588, 12.507000277332951, 12.514002191570507, 12.521006060263433, 12.528004888385446, 12.535004638001686, 12.542001163354048]"
Thiruvananthapuram,AQI,"[41.89740888201086, 42.12107083876503, 42.42129711020464, 42.850196548978275, 42.3108190989596, 42.213866808366724, 42.22509991243203]"
Visakhapatnam,PM2.5,"[15.18301675637289, 15.442424051765059, 16.25715599044149, 16.757741091467704, 16.59668549224177, 16.398267772794572, 16.31448288130894]"
Visakhapatnam,PM10,"[60.68027122967476, 60.67182271496938, 62.528453824940534, 61.60064101321324, 61.023202417149676, 61.53445393203293, 61.34964156092948]"
Visakhapatnam,NO,"[2.005910744324222, 3.0574203012111596, 3.035447909891192, 2.7647533192232783, 2.8387484394891684, 2.505199523986554, 2.5338245866572633]"
Visakhapatnam,NO2,"[26.333916945239917, 26.297988124200927, 26.54055603253997, 27.01079956241304, 27.241292973764416, 27.116315806967727, 26.967164453380267]"
Visakhapatnam,NOx,"[15.006053130568475, 16.035935328573803, 16.2991187174821, 16.36090062758088, 16.539162031681176, 16.121102503859813, 15.998936783634246]"
Visakhapatnam,NH3,"[6.573686675194293, 6.827843967806042, 7.402411380150967, 7.565034090682607, 7.687597961918326, 7.447964539722703, 7.407894935664463]"
Visakhapatnam,CO,"[0.5504676772974064, 0.5408590651833763, 0.5425924549926828, 0.5380710484958868, 0.5364160827072468, 0.5443439795762928, 0.5432707289597196]"
Visakhapatnam,SO2,"[4.855429218981481, 5.981935364956524, 7.117226720129425, 6.563406541046441, 6.7403457446401305, 6.0068502553835685, 6.052540712738062]"
Visakhapatnam,O3,"[17.793374351465367, 18.934594810308138, 20.211684078213114, 21.185044027508987, 22.315592280167497, 21.60621908862622, 21.083593638964356]"
Visakhapatnam,Benzene,"[0.18937090442880786, 0.3267794778679005, 0.30057964939547466, 0.2485973520298792, 0.23353742833515634, 0.22514881096063927, 0.23006513768226758]"
Visakhapatnam,Toluene,"[0.7871603105579951, 2.375078297757205, 1.9195836866901295, 1.4328711851587979, 1.2672707694491003, 1.2359612837295562, 1.2183941363965707]"
Visakhapatnam,Xylene,"[0.18287411251681504, 0.1841542177635384, 0.15627708400916718, 0.12038770948514399, 0.12278886395850923, 0.12591700357202534, 0.1356292876020631]"
Visakhapatnam,AQI,"[52.04492559325339, 51.737353596191795, 53.10256272538461, 54.41303854015656, 54.327124469800935, 53.70589636594394, 53.544309477217894]"
