City,Metric,Forecast
Amritsar,NO,"[30.006060812744195, 28.909680540513257, 28.444569623345494, 28.61332611361479, 28.18101512397685, 28.705683769477083, 28.75753533960427]"
Amritsar,NO2,"[16.60692852262483, 17.167767395974685, 17.160276836215456, 17.09166665458271, 16.77063083763494, 16.700782555051347, 16.81198108192329]"
Amritsar,NOx,"[30.065948600869575, 30.988422262911655, 30.613190701653075, 30.91672713851891, 30.740871368991968, 30.732881654327713, 30.660798341458563]"
Amritsar,NH3,"[16.628184263562986, 16.37740670982343, 15.561330230634306, 15.766210819015972, 15.335807731669759, 15.7982038131968, 15.862805297820596]"
Amritsar,CO,"[0.6139962904449957, 0.618834870404626, 0.6216342460509559, 0.6301118513388844, 0.6315396078329546, 0.626231132136567, 0.6253439232445962]"
Amritsar,SO2,"[4.073330333045873, 4.404398117460291, 4.553242242084484, 4.309873512761022, 4.258907900280923, 4.217961524794528, 4.2936478981767205]"
Amritsar,O3,"[16.48, 16.48, 16.48, 16.48, 16.48, 16.48, 16.48]"
Amritsar,Benzene,"[1.2960464055428988, 1.283395561196326, 1.2803831291478125, 1.2837858083253297, 1.2859078453770032, 1.2874794564603813, 1.2872303814070027]"
Amritsar,Toluene,"[1.092690042972957, 1.090567353948204, 1.0866432158402746, 1.0902425652956274, 1.0906021768457324, 1.0907447561738675, 1.0905522669748353]"
Amritsar,Xylene,"[8.771458173880589, 8.734091190102687, 8.673895462331998, 8.703305742650029, 8.713886880209822, 8.720589373463914, 8.722159680848046]"
Amritsar,AQI,"[79.2129564628655, 76.02959147839442, 76.02678399804718, 72.5592874831764, 71.5854743642809, 72.93796803870046, 74.26435046910365]"
Bengaluru,PM2.5,"[17.86082603772192, 18.357856675521052, 17.89939626634447, 19.567580735462677, 18.534949763521393, 18.439346721753306, 18.379672116004322]"
Bengaluru,PM10,"[29.407377720377767, 29.323702006706178, 28.91753026622391, 29.17872892285069, 28.278354480159624, 28.763197775338238, 28.8245478609251]"
Bengaluru,NO,"[3.8787283683551514, 3.7370186724080416, 3.6551258287037176, 3.7153235384663454, 3.8716976043924327, 3.8610688370227795, 3.835900663525763]"
Bengaluru,NO2,"[13.206276618818112, 13.028073257158605, 12.642723782322985, 12.621714246997314, 12.717435301924349, 12.82444724739371, 12.865235571517518]"
Bengaluru,NOx,"[14.569915876779236, 14.048752279529126, 13.557908247850948, 13.649075001723741, 13.96517915418544, 14.117240827537088, 14.137415722769553]"
Bengaluru,NH3,"[7.277466858650145, 7.19465044785657, 7.121528070585144, 7.092714397865296, 7.111672912810974, 7.145391533065562, 7.153391493841048]"
Bengaluru,CO,"[0.562309689922362, 0.5856302488743544, 0.5892196656083383, 0.577931940413537, 0.5758112026638489, 0.5704310137344418, 0.5708900410914518]"
Bengaluru,SO2,"[6.737083334150424, 6.763206251218212, 6.719352425801411, 6.672305097197681, 6.659705762835831, 6.6670066480633, 6.678094136249781]"
Bengaluru,O3,"[16.016605521644735, 15.98356764842497, 16.277933458993093, 16.32899678174935, 16.2573123861294, 16.133514505508774, 16.11902843143471]"
Bengaluru,Benzene,"[0.29376029668044557, 0.30247315245128753, 0.3163341427984482, 0.3273915511742047, 0.34579996156755194, 0.35708003614837214, 0.3649281463575197]"
Bengaluru,Toluene,"[0.706295002217293, 0.6685771633217938, 0.782898891943328, 0.8251998889621972, 0.8430011634251628, 0.831874009777361, 0.8032896684998134]"
Bengaluru,Xylene,"[174.37204664824594, 174.4781467333134, 174.58424472963304, 174.690340637246, 174.7964344561934, 174.90252618651633, 175.00861582825593]"
Bengaluru,AQI,"[49.97661391183631, 52.40491842977438, 54.39373404910126, 54.80606318656527, 54.42651185935645, 52.594276818977534, 52.71195917550014]"
Bhopal,PM2.5,"[14.411803032653966, 13.85005188640261, 13.834559052675491, 14.06427828086571, 14.142948297490967, 14.089260747312936, 14.120041166531152]"
Bhopal,PM10,"[31.240512821389935, 32.491569025394256, 32.5778082216361, 34.00843900063182, 35.84786599162826, 34.86836138019846, 34.19856376803038]"
Bhopal,NO,"[1.6594220688837678, 1.7357904346873498, 1.734979527040071, 1.7208496412983787, 1.7297136589005626, 1.611701203732798, 1.661879310926602]"
Bhopal,NO2,"[6.044369202169242, 6.227924877957858, 6.270066840655175, 6.812322243993671, 6.821148556817056, 6.574285642585697, 6.500477641066003]"
Bhopal,NOx,"[4.881629940620023, 4.984752783295484, 5.011783539890914, 5.239020596182204, 5.254965886209302, 4.97181849470954, 4.9921695308720855]"
Bhopal,NH3,"[9.364049255774205, 9.784286629793172, 9.937758237312137, 10.259965375858837, 10.528258717271099, 10.149048025486623, 10.065884237998938]"
Bhopal,CO,"[0.4138999170390251, 0.4085206374308074, 0.421063682753081, 0.43249466583516105, 0.4265481839080637, 0.41803039410586984, 0.41700919918839213]"
Bhopal,SO2,"[12.615433530483784, 12.3388034939023, 12.489252569225744, 12.593987297096488, 12.564169664470043, 12.550851150330551, 12.546272324956393]"
Bhopal,O3,"[47.38598147886705, 48.0062168628678, 48.187730413633915, 48.271438205773926, 48.40818867345638, 48.36377536090625, 48.2395017952202]"
Bhopal,Benzene,"[0.0009310305685730115, 0.000931027443779641, 0.0009310251042999951, 0.0009310235473888517, 0.0009310227703009843, 0.0009310227702911616, 0.0009310227702846299]"
Bhopal,Toluene,"[0.5746905524957695, 0.5746905514975735, 0.5746905507502404, 0.5746905502528941, 0.5746905500046575, 0.574690550004654, 0.5746905500046516]"
Bhopal,Xylene,"[5.503247370424594, 5.501805445882885, 5.500363369954775, 5.498921454033499, 5.497480011823302, 5.496038755685336, 5.494597387281942]"
Bhopal,AQI,"[67.42435447754946, 65.88372620392515, 63.966189787198886, 62.31177827426574, 62.145214218428805, 63.63490662620882, 64.38913010810379]"
Brajrajnagar,PM2.5,"[17.603239543170286, 18.78341603397334, 19.222887587603974, 19.498463082253224, 19.257344911249483, 18.90389088966192, 18.80229719197595]"
Brajrajnagar,PM10,"[83.57877155288394, 82.68059398656926, 82.35601302390988, 82.1047619039639, 82.22321280229228, 82.42999316972346, 82.48951302247275]"
Brajrajnagar,NO,"[7.147810989806921, 6.950686392035648, 6.973616873430884, 6.985146560498225, 6.984940585903407, 6.989777301445187, 6.988876590197316]"
Brajrajnagar,NO2,"[4.048078289039363, 4.014712601717692, 4.006911129663934, 3.9982784492152197, 4.000971458500357, 4.008773984894218, 4.009529329353899]"
Brajrajnagar,NOx,"[10.395604468061105, 9.880271922044088, 9.648890478963459, 9.35951350744195, 9.33822445480864, 9.605473145080138, 9.721924032992925]"
Brajrajnagar,NH3,"[6.803389477293509, 7.6492801956456375, 7.690011874132027, 7.438478655082129, 7.469416612384055, 7.295128346449618, 7.323209485129808]"
Brajrajnagar,CO,"[0.5163876996095643, 0.5069806764259167, 0.5084067736899445, 0.5087756564853686, 0.5097367970889117, 0.511141575254523, 0.5107899790369022]"
